"package_name","package_version","package_description","dependencies"
"rust-blake3+digest-devel","1.5.5","The BLAKE3 hash function.  This package contains library source intended for building other packages which use the ""digest"" feature of the ""blake3"" crate. Fedora Project","cargo, rust-blake3-devel, rust-digest+default-devel, rust-digest+mac-devel"
"rust-blake3+no_avx512-devel","1.5.5","The BLAKE3 hash function.  This package contains library source intended for building other packages which use the ""no_avx512"" feature of the ""blake3"" crate. Fedora Project","cargo, rust-blake3-devel"
"rust-brotli+ffi-api-devel","7.0.0","A brotli compressor and decompressor that with an interface avoiding the rust stdlib. This makes it suitable for embedded devices and kernels. It is designed with a pluggable allocator so that the standard lib's allocator may be employed. The default build also includes a stdlib allocator and stream interface. Disable this with --features=no-stdlib. All included code is safe.  This package contains library source intended for building other packages which use the ""ffi-api"" feature of the ""brotli"" crate. Fedora Project","cargo, rust-brotli-decompressor+ffi-api-devel, rust-brotli-devel"
"rust-brotli+pass-through-ffi-panics-devel","7.0.0","A brotli compressor and decompressor that with an interface avoiding the rust stdlib. This makes it suitable for embedded devices and kernels. It is designed with a pluggable allocator so that the standard lib's allocator may be employed. The default build also includes a stdlib allocator and stream interface. Disable this with --features=no-stdlib. All included code is safe.  This package contains library source intended for building other packages which use the ""pass-through-ffi-panics"" feature of the ""brotli"" crate. Fedora Project","cargo, rust-brotli-devel"
"rust-chrono-tz+filter-by-regex-devel","0.10.0","TimeZone implementations for chrono from the IANA database.  This package contains library source intended for building other packages which use the ""filter-by-regex"" feature of the ""chrono-tz"" crate. Fedora Project","cargo, rust-chrono-tz-devel"
"rust-ciborium-ll+default-devel","0.2.2","Low-level CBOR codec primitives.  This package contains library source intended for building other packages which use the ""default"" feature of the ""ciborium-ll"" crate. Fedora Project","cargo, rust-ciborium-ll-devel"
"rust-cipher-devel","0.4.4","Traits for describing block ciphers and stream ciphers.  This package contains library source intended for building other packages which use the ""cipher"" crate. Fedora Project","cargo, rust, rust-crypto-common+default-devel, rust-inout+default-devel"
"rust-const-random-macro-devel","0.1.16","Provides the procedural macro used by const-random.  This package contains library source intended for building other packages which use the ""const-random-macro"" crate. Fedora Project","cargo, rust-getrandom+default-devel, rust-once_cell+alloc-devel, rust-once_cell+race-devel, rust-once_cell-devel, rust-tiny-keccak+default-devel, rust-tiny-keccak+shake-devel"
"rust-cookie-devel","0.18.1","HTTP cookie parsing and cookie jar management. Supports signed and private (encrypted, authenticated) jars.  This package contains library source intended for building other packages which use the ""cookie"" crate. Fedora Project","bash, cargo, rust-time+formatting-devel, rust-time+macros-devel, rust-time+parsing-devel, rust-time+std-devel, rust-time-devel, rust-version_check+default-devel"
"rust-crypto-mac+blobby-devel","0.11.1","Trait for Message Authentication Code (MAC) algorithms.  This package contains library source intended for building other packages which use the ""blobby"" feature of the ""crypto-mac"" crate. Fedora Project","cargo, rust-blobby+default-devel, rust-crypto-mac-devel"
"rust-ctr+std-devel","0.9.2","CTR block modes of operation.  This package contains library source intended for building other packages which use the ""std"" feature of the ""ctr"" crate. Fedora Project","cargo, rust-cipher+std-devel, rust-ctr+alloc-devel, rust-ctr-devel"
"rust-derive_more-impl+add-devel","1.0.0","Internal implementation of `derive_more` crate.  This package contains library source intended for building other packages which use the ""add"" feature of the ""derive_more-impl"" crate. Fedora Project","cargo, rust-derive_more-impl-devel"
"rust-derive_more-impl+not-devel","1.0.0","Internal implementation of `derive_more` crate.  This package contains library source intended for building other packages which use the ""not"" feature of the ""derive_more-impl"" crate. Fedora Project","cargo, rust-derive_more-impl-devel, rust-syn+extra-traits-devel"
"rust-digest+blobby-devel","0.10.7","Traits for cryptographic hash functions and message authentication codes.  This package contains library source intended for building other packages which use the ""blobby"" feature of the ""digest"" crate. Fedora Project","cargo, rust-blobby+default-devel, rust-digest-devel"
"rust-ecdsa+dev-devel","0.16.9","Pure Rust implementation of the Elliptic Curve Digital Signature Algorithm (ECDSA) as specified in FIPS 186-4 (Digital Signature Standard), providing RFC6979 deterministic signatures as well as support for added entropy.  This package contains library source intended for building other packages which use the ""dev"" feature of the ""ecdsa"" crate. Fedora Project","cargo, rust-ecdsa+arithmetic-devel, rust-ecdsa+digest-devel, rust-ecdsa+hazmat-devel, rust-ecdsa-devel, rust-elliptic-curve+dev-devel"
"rust-ecdsa-devel","0.16.9","Pure Rust implementation of the Elliptic Curve Digital Signature Algorithm (ECDSA) as specified in FIPS 186-4 (Digital Signature Standard), providing RFC6979 deterministic signatures as well as support for added entropy.  This package contains library source intended for building other packages which use the ""ecdsa"" crate. Fedora Project","cargo, rust, rust-elliptic-curve+digest-devel, rust-elliptic-curve+sec1-devel, rust-elliptic-curve-devel, rust-signature+rand_core-devel, rust-signature-devel"
"rust-ed25519-dalek+pkcs8-devel","2.1.1","Fast and efficient ed25519 EdDSA key generations, signing, and verification in pure Rust.  This package contains library source intended for building other packages which use the ""pkcs8"" feature of the ""ed25519-dalek"" crate. Fedora Project","cargo, rust-ed25519+pkcs8-devel, rust-ed25519-dalek-devel"
"rust-ed25519-dalek+rand_core-devel","2.1.1","Fast and efficient ed25519 EdDSA key generations, signing, and verification in pure Rust.  This package contains library source intended for building other packages which use the ""rand_core"" feature of the ""ed25519-dalek"" crate. Fedora Project","cargo, rust-ed25519-dalek-devel, rust-rand_core-devel"
"rust-elliptic-curve-devel","0.13.8","General purpose Elliptic Curve Cryptography (ECC) support, including types and traits for representing various elliptic curve forms, scalars, points, and public/secret keys composed thereof.  This package contains library source intended for building other packages which use the ""elliptic-curve"" crate. Fedora Project","cargo, rust, rust-base16ct+default-devel, rust-crypto-bigint+generic-array-devel, rust-crypto-bigint+rand_core-devel, rust-crypto-bigint+zeroize-devel, rust-crypto-bigint-devel, rust-generic-array+zeroize-devel, rust-generic-array-devel, rust-rand_core-devel, rust-subtle-devel, rust-zeroize-devel"
"rust-env_logger+regex-devel","0.11.6","A logging implementation for `log` which is configured via an environment variable.  This package contains library source intended for building other packages which use the ""regex"" feature of the ""env_logger"" crate. Fedora Project","cargo, rust-env_filter+regex-devel, rust-env_logger-devel"
"rust-faster-hex+serde-devel","0.9.0","Fast hex encoding.  This package contains library source intended for building other packages which use the ""serde"" feature of the ""faster-hex"" crate. Fedora Project","cargo, rust-faster-hex-devel, rust-serde+default-devel"
"rust-firestorm-devel","","",""
"rust-fnv+default-devel","1.0.7","Fowler–Noll–Vo hash function.  This package contains library source intended for building other packages which use the ""default"" feature of the ""fnv"" crate. Fedora Project","cargo, rust-fnv+std-devel, rust-fnv-devel"
"rust-getrandom+custom-devel","0.2.15","A small cross-platform library for retrieving random data from system source.  This package contains library source intended for building other packages which use the ""custom"" feature of the ""getrandom"" crate. Fedora Project","cargo, rust-getrandom-devel"
"rust-getrandom+linux_disable_fallback-devel","0.2.15","A small cross-platform library for retrieving random data from system source.  This package contains library source intended for building other packages which use the ""linux_disable_fallback"" feature of the ""getrandom"" crate. Fedora Project","cargo, rust-getrandom-devel"
"rust-gix+blocking-http-transport-reqwest-native-tls-devel","0.66.0","Interact with git repositories just like git would.  This package contains library source intended for building other packages which use the ""blocking-http-transport-reqwest-native-tls"" feature of the ""gix"" crate. Fedora Project","cargo, rust-gix+blocking-http-transport-reqwest-devel, rust-gix-devel, rust-gix-transport+default-devel, rust-gix-transport+http-client-reqwest-native-tls-devel"
"rust-gstreamer-gl-wayland+v1_16-devel","0.23.2","Rust bindings for GStreamer GL library (Wayland support).  This package contains library source intended for building other packages which use the ""v1_16"" feature of the ""gstreamer-gl-wayland"" crate. Fedora Project","cargo, rust-gstreamer+v1_16-devel, rust-gstreamer-gl+v1_16-devel, rust-gstreamer-gl-wayland-devel, rust-gstreamer-gl-wayland-sys+v1_16-devel"
"rust-hash32_0","0.2.1","32-bit hashing machinery.  This package contains library source intended for building other packages which use the ""hash32"" crate. Fedora Project","cargo, rust-byteorder-devel"
"rust-hickory-client+dns-over-rustls-devel","","",""
"rust-hickory-proto+dns-over-https-devel","","",""
"rust-jwalk+default-devel","0.8.1","Filesystem walk performed in parallel with streamed and sorted results.  This package contains library source intended for building other packages which use the ""default"" feature of the ""jwalk"" crate. Fedora Project","cargo, rust-jwalk-devel"
"rust-libflate_lz77+default-devel","2.1.0","LZ77 encoder for libflate crate.  This package contains library source intended for building other packages which use the ""default"" feature of the ""libflate_lz77"" crate. Fedora Project","cargo, rust-libflate_lz77+std-devel, rust-libflate_lz77-devel"
"rust-libgit2-sys+https-devel","0.17.0","Native bindings to the libgit2 library.  This package contains library source intended for building other packages which use the ""https"" feature of the ""libgit2-sys"" crate. Fedora Project","cargo, rust-libgit2-sys+openssl-sys-devel, rust-libgit2-sys-devel"
"rust-libmimalloc-sys+arena-devel","0.1.39","Sys crate wrapping the mimalloc allocator.  This package contains library source intended for building other packages which use the ""arena"" feature of the ""libmimalloc-sys"" crate. Fedora Project","cargo, rust-libmimalloc-sys-devel"
"rust-libsodium-sys-devel","","",""
"rust-libsodium-sys+use-pkg-config-devel","","",""
"rust-mimalloc+default-devel","0.1.43","Performance and security oriented drop-in allocator.  This package contains library source intended for building other packages which use the ""default"" feature of the ""mimalloc"" crate. Fedora Project","cargo, rust-mimalloc-devel"
"rust-no-std-net+i128-devel","0.6.0","Rust's std::net... without the 'std'.  This package contains library source intended for building other packages which use the ""i128"" feature of the ""no-std-net"" crate. Fedora Project","cargo, rust-no-std-net-devel"
"rust-p256+test-vectors-devel","0.13.2","Pure Rust implementation of the NIST P-256 (a.k.a. secp256r1, prime256v1) elliptic curve as defined in SP 800-186, with support for ECDH, ECDSA signing/verification, and general purpose curve arithmetic.  This package contains library source intended for building other packages which use the ""test-vectors"" feature of the ""p256"" crate. Fedora Project","cargo, rust-hex-literal+default-devel, rust-p256-devel"
"rust-p384+std-devel","0.13.0","Pure Rust implementation of the NIST P-384 (a.k.a. secp384r1) elliptic curve as defined in SP 800-186 with support for ECDH, ECDSA signing/verification, and general purpose curve arithmetic support.  This package contains library source intended for building other packages which use the ""std"" feature of the ""p384"" crate. Fedora Project","cargo, rust-ecdsa+der-devel, rust-ecdsa+std-devel, rust-ecdsa-devel, rust-elliptic-curve+std-devel, rust-p384+alloc-devel, rust-p384-devel"
"rust-palette+rand-devel","0.7.5","Convert and manage colors with a focus on correctness, flexibility and ease of use.  This package contains library source intended for building other packages which use the ""rand"" feature of the ""palette"" crate. Fedora Project","cargo, rust-palette-devel, rust-rand-devel"
"rust-pasetors+rand_core-devel","0.6.8","PASETO: Platform-Agnostic Security Tokens (in Rust).  This package contains library source intended for building other packages which use the ""rand_core"" feature of the ""pasetors"" crate. Fedora Project","cargo, rust-pasetors-devel, rust-rand_core+getrandom-devel, rust-rand_core-devel"
"rust-pest_generator+export-internal-devel","2.7.15","Pest code generator.  This package contains library source intended for building other packages which use the ""export-internal"" feature of the ""pest_generator"" crate. Fedora Project","cargo, rust-pest_generator-devel"
"rust-pkcs5-devel","0.7.1","Pure Rust implementation of Public-Key Cryptography Standards (PKCS) #5: Password-Based Cryptography Specification Version 2.1 (RFC 8018).  This package contains library source intended for building other packages which use the ""pkcs5"" crate. Fedora Project","bash, cargo, rust, rust-der+default-devel, rust-der+oid-devel, rust-spki+default-devel"
"rust-pkcs5+sha1-insecure-devel","0.7.1","Pure Rust implementation of Public-Key Cryptography Standards (PKCS) #5: Password-Based Cryptography Specification Version 2.1 (RFC 8018).  This package contains library source intended for building other packages which use the ""sha1-insecure"" feature of the ""pkcs5"" crate. Fedora Project","cargo, rust-pkcs5+pbes2-devel, rust-pkcs5-devel, rust-sha1-devel"
"rust-plotters+colormaps-devel","","",""
"rust-polyval+std-devel","0.6.2","POLYVAL is a GHASH-like universal hash over GF(2^128) useful for constructing a Message Authentication Code (MAC).  This package contains library source intended for building other packages which use the ""std"" feature of the ""polyval"" crate. Fedora Project","cargo, rust-polyval-devel, rust-universal-hash+std-devel"
"rust-predicates-tree-devel","1.0.12","Render boolean-valued predicate functions results as a tree.  This package contains library source intended for building other packages which use the ""predicates-tree"" crate. Fedora Project","cargo, rust, rust-predicates-core+default-devel, rust-termtree+default-devel"
"rust-psa-crypto+operations-devel","0.12.0","Wrapper around the PSA Cryptography API.  This package contains library source intended for building other packages which use the ""operations"" feature of the ""psa-crypto"" crate. Fedora Project","cargo, rust-psa-crypto+interface-devel, rust-psa-crypto-devel, rust-psa-crypto-sys+operations-devel"
"rust-pyo3+abi3-py311-devel","0.23.3","Bindings to Python interpreter.  This package contains library source intended for building other packages which use the ""abi3-py311"" feature of the ""pyo3"" crate. Fedora Project","cargo, rust-pyo3+abi3-py312-devel, rust-pyo3-devel, rust-pyo3-ffi+abi3-py311-devel"
"rust-pyo3+hashbrown-devel","0.23.3","Bindings to Python interpreter.  This package contains library source intended for building other packages which use the ""hashbrown"" feature of the ""pyo3"" crate. Fedora Project","cargo, rust-hashbrown+default-devel, rust-hashbrown0.11+default-devel, rust-hashbrown0.12+default-devel, rust-hashbrown0.13+default-devel, rust-hashbrown0.14+default-devel, rust-hashbrown0.9+default-devel, rust-pyo3-devel"
"rust-rand_core+serde1-devel","0.6.4","Core random number generator traits and tools for implementation.  This package contains library source intended for building other packages which use the ""serde1"" feature of the ""rand_core"" crate. Fedora Project","cargo, rust-rand_core+serde-devel, rust-rand_core-devel"
"rust-rand_isaac+serde1-devel","0.3.0","ISAAC random number generator.  This package contains library source intended for building other packages which use the ""serde1"" feature of the ""rand_isaac"" crate. Fedora Project","cargo, rust-rand_core+serde1-devel, rust-rand_isaac+serde-devel, rust-rand_isaac-devel"
"rust-rand_xorshift+serde-devel","0.3.0","Xorshift random number generator.  This package contains library source intended for building other packages which use the ""serde"" feature of the ""rand_xorshift"" crate. Fedora Project","cargo, rust-rand_xorshift-devel, rust-serde+derive-devel, rust-serde-devel"
"rust-redis+cluster-devel","0.25.4","Redis driver for Rust.  This package contains library source intended for building other packages which use the ""cluster"" feature of the ""redis"" crate. Fedora Project","cargo, rust-redis+crc16-devel, rust-redis+rand-devel, rust-redis-devel"
"rust-redis+r2d2-devel","0.25.4","Redis driver for Rust.  This package contains library source intended for building other packages which use the ""r2d2"" feature of the ""redis"" crate. Fedora Project","cargo, rust-r2d2+default-devel, rust-redis-devel"
"rust-reqwest+http2-devel","0.12.12","Higher level HTTP client library.  This package contains library source intended for building other packages which use the ""http2"" feature of the ""reqwest"" crate. Fedora Project","cargo, rust-hyper+http2-devel, rust-hyper-rustls+http1-devel, rust-hyper-rustls+http2-devel, rust-hyper-rustls+tls12-devel, rust-hyper-rustls-devel, rust-hyper-util+http2-devel, rust-reqwest+h2-devel, rust-reqwest-devel"
"rust-reqwest+zstd-devel","0.12.12","Higher level HTTP client library.  This package contains library source intended for building other packages which use the ""zstd"" feature of the ""reqwest"" crate. Fedora Project","cargo, rust-async-compression+tokio-devel, rust-async-compression+zstd-devel, rust-async-compression-devel, rust-reqwest-devel, rust-tokio-util+codec-devel, rust-tokio-util+io-devel, rust-tokio-util-devel"
"rust-rkyv_derive+copy-devel","","",""
"rust-rpki+repository-devel","0.18.4","A library for validating and creating RPKI data.  This package contains library source intended for building other packages which use the ""repository"" feature of the ""rpki"" crate. Fedora Project","cargo, rust-rpki+bcder-devel, rust-rpki+crypto-devel, rust-rpki-devel"
"rust-rustls-pki-types+default-devel","1.10.1","Shared types for the rustls PKI ecosystem.  This package contains library source intended for building other packages which use the ""default"" feature of the ""rustls-pki-types"" crate. Fedora Project","cargo, rust-rustls-pki-types+alloc-devel, rust-rustls-pki-types-devel"
"rust-sequoia-policy-config+default-devel","0.7.0","Configure Sequoia using a configuration file.  This package contains library source intended for building other packages which use the ""default"" feature of the ""sequoia-policy-config"" crate. Fedora Project","cargo, rust-sequoia-policy-config-devel"
"rust-sequoia-wot+clap_complete-devel","0.12.0","An implementation of OpenPGP's web of trust.  This package contains library source intended for building other packages which use the ""clap_complete"" feature of the ""sequoia-wot"" crate. Fedora Project","cargo, rust-clap_complete+default-devel, rust-sequoia-wot-devel"
"rust-serde_plain-devel","1.0.2","A restricted plain text serializer for serde.  This package contains library source intended for building other packages which use the ""serde_plain"" crate. Fedora Project","cargo, rust-serde+default-devel"
"rust-sha1_smol-devel","1.0.1","Minimal dependency-free implementation of SHA1 for Rust.  This package contains library source intended for building other packages which use the ""sha1_smol"" crate. Fedora Project","cargo"
"rust-signature+default-devel","2.2.0","Traits for cryptographic signature algorithms (e.g. ECDSA, Ed25519).  This package contains library source intended for building other packages which use the ""default"" feature of the ""signature"" crate. Fedora Project","cargo, rust-signature-devel"
"rust-simba+rand-devel","0.9.0","SIMD algebra for Rust.  This package contains library source intended for building other packages which use the ""rand"" feature of the ""simba"" crate. Fedora Project","cargo, rust-rand+default-devel, rust-simba-devel"
"rust-sop+chrono-devel","0.8.0","Rust Interface for the Stateless OpenPGP Interface.  This package contains library source intended for building other packages which use the ""chrono"" feature of the ""sop"" crate. Fedora Project","cargo, rust-chrono+default-devel, rust-sop-devel"
"rust-sop-devel","0.8.0","Rust Interface for the Stateless OpenPGP Interface.  This package contains library source intended for building other packages which use the ""sop"" crate. Fedora Project","cargo, rust-memsec-devel, rust-serde+default-devel, rust-serde+derive-devel, rust-serde_json+default-devel, rust-thiserror+default-devel, rust-thiserror1+default-devel"
"rust-ssh-cipher+chacha20poly1305-devel","0.2.0","Pure Rust implementation of SSH symmetric encryption including support for the modern aes128-gcm@openssh.com/aes256-gcm@openssh.com and chacha20-poly1305@openssh.com algorithms as well as legacy support for older ciphers. Built on the pure Rust cryptography implementations maintained by the RustCrypto organization.  This package contains library source intended for building other packages which use the ""chacha20poly1305"" feature of the ""ssh-cipher"" crate. Fedora Project","cargo, rust-chacha20-devel, rust-poly1305-devel, rust-ssh-cipher-devel, rust-subtle-devel"
"rust-ssh-key+default-devel","0.6.7","Pure Rust implementation of SSH key file format decoders/encoders as described in RFC4251/RFC4253 and OpenSSH key formats, as well as ""sshsig"" signatures and certificates (including certificate validation and certificate authority support), with further support for the `authorized_keys` and `known_hosts` file formats.  This package contains library source intended for building other packages which use the ""default"" feature of the ""ssh-key"" crate. Fedora Project","cargo, rust-ssh-key+ecdsa-devel, rust-ssh-key+rand_core-devel, rust-ssh-key+std-devel, rust-ssh-key-devel"
"rust-sval+alloc-devel","","",""
"rust-tinyvec+arbitrary-devel","1.8.1","`tinyvec` provides 100% safe vec-like data structures.  This package contains library source intended for building other packages which use the ""arbitrary"" feature of the ""tinyvec"" crate. Fedora Project","cargo, rust-arbitrary+default-devel, rust-tinyvec-devel"
"rust-trust-dns-recursor+dns-over-https-devel","","",""
"rust-tungstenite+rustls-pki-types-devel","0.23.0","Lightweight stream-based WebSocket implementation.  This package contains library source intended for building other packages which use the ""rustls-pki-types"" feature of the ""tungstenite"" crate. Fedora Project","cargo, rust-rustls-pki-types+default-devel, rust-tungstenite-devel"
"rust-twox-hash-devel","2.1.0","A Rust implementation of the XXHash and XXH3 algorithms.  This package contains library source intended for building other packages which use the ""twox-hash"" crate. Fedora Project","cargo, rust, rust-cfg-if-devel, rust-cfg-if0.1-devel, rust-static_assertions-devel"
"rust-twox-hash+serde-devel","1.6.3","Rust implementation of the XXHash and XXH3 algorithms.  This package contains library source intended for building other packages which use the ""serde"" feature of the ""twox-hash"" crate. Fedora Project","cargo, rust-serde+default-devel, rust-serde+derive-devel, rust-twox-hash-devel, rust-twox-hash1-devel"
"rust-universal-hash+default-devel","0.5.1","Traits which describe the functionality of universal hash functions (UHFs).  This package contains library source intended for building other packages which use the ""default"" feature of the ""universal-hash"" crate. Fedora Project","cargo, rust-universal-hash-devel"
"rust-uucore+sha3-devel","0.0.27","Uutils ~ 'core' uutils code library (cross-platform).  This package contains library source intended for building other packages which use the ""sha3"" feature of the ""uucore"" crate. Fedora Project","cargo, rust-sha3+default-devel, rust-uucore-devel"
"rust-uu_cp+default-devel","0.0.27","cp ~ (uutils) copy SOURCE to DESTINATION.  This package contains library source intended for building other packages which use the ""default"" feature of the ""uu_cp"" crate. Fedora Project","cargo, rust-uu_cp-devel"
"rust-x11rb+all-extensions-devel","0.13.1","Rust bindings to X11.  This package contains library source intended for building other packages which use the ""all-extensions"" feature of the ""x11rb"" crate. Fedora Project","cargo, rust-x11rb+composite-devel, rust-x11rb+damage-devel, rust-x11rb+dbe-devel, rust-x11rb+dpms-devel, rust-x11rb+dri2-devel, rust-x11rb+dri3-devel, rust-x11rb+glx-devel, rust-x11rb+present-devel, rust-x11rb+randr-devel, rust-x11rb+record-devel, rust-x11rb+render-devel, rust-x11rb+res-devel, rust-x11rb+screensaver-devel, rust-x11rb+shape-devel, rust-x11rb+shm-devel, rust-x11rb+sync-devel, rust-x11rb+xevie-devel, rust-x11rb+xf86dri-devel, rust-x11rb+xf86vidmode-devel, rust-x11rb+xfixes-devel, rust-x11rb+xinerama-devel, rust-x11rb+xinput-devel, rust-x11rb+xkb-devel, rust-x11rb+xprint-devel, rust-x11rb+xselinux-devel, rust-x11rb+xtest-devel, rust-x11rb+xv-devel, rust-x11rb+xvmc-devel, rust-x11rb-devel, rust-x11rb-protocol+all-extensions-devel"
"rust-x25519-dalek+zeroize-devel","2.0.1","X25519 elliptic curve Diffie-Hellman key exchange in pure-Rust, using curve25519-dalek.  This package contains library source intended for building other packages which use the ""zeroize"" feature of the ""x25519-dalek"" crate. Fedora Project","cargo, rust-curve25519-dalek+zeroize-devel, rust-x25519-dalek-devel, rust-zeroize+zeroize_derive-devel, rust-zeroize-devel"
"rust-xxhash-rust+const_xxh64-devel","0.8.15","Implementation of xxhash.  This package contains library source intended for building other packages which use the ""const_xxh64"" feature of the ""xxhash-rust"" crate. Fedora Project","cargo, rust-xxhash-rust-devel"
"rust-zune-inflate+simd-adler32-devel","0.2.54","A heavily optimized deflate decompressor in Pure Rust.  This package contains library source intended for building other packages which use the ""simd-adler32"" feature of the ""zune-inflate"" crate. Fedora Project","cargo, rust-simd-adler32-devel, rust-zune-inflate-devel"
"samba-libs","4.21.3","The samba-libs package contains the libraries needed by programs that link against the SMB, RPC and other protocols provided by the Samba suite. Fedora Project","avahi-libs, glibc, gnutls, jansson, krb5-libs, libacl, libcap, libcom_err, libgcc, libicu, libldb, libtalloc, libtdb, libtevent, libtirpc, libwbclient, openldap, openssl-libs, pam-libs, popt, samba-client-libs, samba-common-libs, systemd-libs, zlib-ng-compat"
"samba-test","4.21.3","samba-test provides testing tools for both the server and client packages of Samba. Fedora Project","glibc, gnutls, jansson, krb5-libs, libcap, libcom_err, libgcc, libicu, libldb, libnetapi, libsmbclient, libtalloc, libtdb, libtevent, libwbclient, ncurses-libs, openldap, openssl-libs, pam-libs, perl-Archive-Tar, popt, python3-ldb, python3-libs, python3-samba, python3-talloc, readline, samba, samba-client-libs, samba-common, samba-common-libs, samba-dc-libs, samba-libs, samba-test-libs, samba-winbind, systemd-libs, zlib-ng-compat"
"samba-winbind","4.21.3","The samba-winbind package provides the winbind NSS library, and some client tools.  Winbind enables Linux to be a full member in Windows domains and to use Windows user and group accounts on Linux. Fedora Project","bash, glibc, gnutls, jansson, krb5-libs, libcap, libcom_err, libgcc, libicu, libldb, libtalloc, libtdb, libtevent, libwbclient, openldap, openssl-libs, pam-libs, popt, samba-client-libs, samba-common, samba-common-libs, samba-common-tools, samba-dcerpc, samba-libs, samba-winbind-modules, systemd-libs, zlib-ng-compat"
"sasl-xoauth2","0.25","sasl-xoauth2 is a SASL plugin that enables client-side use of OAuth 2.0.  Among other things it enables the use of Gmail or Outlook/Office 365 SMTP relays from Postfix. Fedora Project","cyrus-sasl-lib, glibc, jsoncpp, libcurl, libcurl-minimal, libgcc, libstdc++, python3, python3-msal"
"sblim-cmpi-nfsv4","1.1.0","Standards Based Linux Instrumentation Nfsv4 Providers Fedora Project","bash, cim-schema, glibc, sblim-cmpi-base, sblim-sfcb, tog-pegasus"
"sendmail","8.18.1","The Sendmail program is a very widely used Mail Transport Agent (MTA). MTAs send mail from one machine to another. Sendmail is not a client program, which you use to read your email. Sendmail is a behind-the-scenes program which actually moves your email over networks or the Internet to where you want it to go.  If you ever need to reconfigure Sendmail, you will also need to have the sendmail-cf package installed. If you need documentation on Sendmail, you can install the sendmail-doc package. Fedora Project","alternatives, bash, coreutils, coreutils-single, cyrus-sasl, cyrus-sasl-lib, glibc, libdb, libnsl2, openldap, openssl, openssl-libs, procmail, setup, shadow-utils, systemd, tinycdb"
"sha3sum","1.05","This script will compute and check the SHA3 message digest of a file Fedora Project","perl-Digest-SHA3, perl-Fcntl, perl-Getopt-Long, perl-interpreter, perl-libs"
"sha-devel","1.0.4b","This package contains the libraries needed to develop applications that use sha Fedora Project","sha"
"signon-plugin-oauth2-devel","0.25^20231216.fab6988","Development files for signon-plugin-oauth2. Fedora Project","pkgconf-pkg-config, signon-devel, signon-plugin-oauth2"
"signon-ui","0.15^20240205.eef943f","Sign-on UI is the component responsible for handling the user interactions which can happen during the login process of an online account. It can show password dialogs and dialogs with embedded web pages. Fedora Project","dbus, glib2, glibc, libaccounts-qt6, libgcc, libnotify, libproxy, libstdc++, qt6-qtbase, qt6-qtbase-gui, qt6-qtdeclarative, qt6-qtwebengine, signon-qt6"
"singularity-ce","4.2.2","SingularityCE is the Community Edition of Singularity, an open source container platform designed to be simple, fast, and secure. Fedora Project","bash, conmon, crun, cryptsetup, fuse, fuse3, fuse3-libs, glibc, libseccomp, shadow-utils, squashfs-tools, zlib-ng-compat"
"skopeo-tests","1.17.0","Tests for skopeo  This package contains system tests for skopeo Fedora Project","bash, bats, coreutils, coreutils-single, crun, fakeroot, gnupg2, golang, httpd-tools, jq, openssl, podman, skopeo, squashfs-tools"
"SOIL-devel","1.07","The SOIL-devel package contains libraries and header files for developing applications that use SOIL. Fedora Project","SOIL"
"sparse","0.6.4","Sparse is a semantic parser of source files: it's neither a compiler (although it could be used as a front-end for one) nor is it a preprocessor (although it contains as a part of it a preprocessing phase).  It is meant to be a small - and simple - library.  Scanty and meager, and partly because of that easy to use.  It has one mission in life: create a semantic parse tree for some arbitrary user for further analysis.  It's not a tokenizer, nor is it some generic context-free parser.  In fact, context (semantics) is what it's all about - figuring out not just what the grouping of tokens are, but what the _types_ are that the grouping implies.  Sparse is primarily used in the development and debugging of the Linux kernel. Fedora Project","glib2, glibc, gtk2, libxml2, perl-interpreter, sqlite-libs"
"sshuttle","1.1.1","Transparent proxy server that works as a poor man's VPN. Forwards over ssh. Doesn't require admin. Works with Linux and MacOS. Supports DNS tunneling. Fedora Project","iptables-legacy, iptables-nft, openssh-clients, python3"
"sssd-dbus","2.10.1","Provides the D-Bus responder of the SSSD, called the InfoPipe, that allows the information from the SSSD to be transmitted over the system bus. Fedora Project","bash, dbus-libs, glibc, libdhash, libldb, libselinux, libtalloc, libtdb, libtevent, popt, sssd-common, systemd, systemd-libs"
"ssss","0.5","ssss is an implementation of Shamir's secret sharing scheme.  ssss does both: the generation of shares for a known secret and the reconstruction of a secret using user provided shares. Fedora Project","glibc, gmp"
"stratisd-dracut","3.7.3","Dracut modules for use with stratisd. Fedora Project","bash, cryptsetup-libs, dracut, glibc, libblkid, libgcc, stratisd, systemd, systemd-libs"
"subscription-manager","1.30.2","The Subscription Manager package provides programs and libraries to allow users to manage subscriptions and yum repositories from the Red Hat entitlement platform. Fedora Project","bash, dmidecode, glib2, glibc, iproute, libdnf-plugin-subscription-manager, python3, python3-cloud-what, python3-dateutil, python3-dbus, python3-decorator, python3-dnf, python3-dnf-plugins-core, python3-gobject-base, python3-iniparse, python3-inotify, python3-librepo, python3-subscription-manager-rhsm, subscription-manager-rhsm-certificates, systemd, usermode, virt-what"
"swtpm-devel","0.9.0","Include files for the TPM emulator's CUSE interface. Fedora Project","swtpm-libs"
"symmetrica-devel","3.0.1","The symmetrica-devel package contains libraries and header files for developing applications that use symmetrica. Fedora Project","symmetrica"
